Title,Rating,Votes,Duration,Genre
1. Kraven the Hunter,5.4, (44K),2h 7m,action
2. Gladiator II,6.6, (216K),2h 28m,action
3. Sonic the Hedgehog 3,6.9, (52K),1h 50m,action
4. Venom: The Last Dance,6.0, (107K),1h 50m,action
5. Dune: Part Two,8.5, (612K),2h 46m,action
6. Pushpa: The Rule - Part 2,6.1, (54K),3h 21m,action
7. William Tell,5.7, (1.6K),2h 13m,action
8. Elevation,5.6, (19K),1h 31m,action
9. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m,action
10. The Ministry of Ungentlemanly Warfare,6.8, (131K),2h 2m,action
11. Furiosa: A Mad Max Saga,7.5, (279K),2h 28m,action
12. Deadpool & Wolverine,7.6, (479K),2h 8m,action
13. Borderlands,4.7, (45K),1h 41m,action
14. Hellboy: The Crooked Man,4.5, (12K),1h 39m,action
15. Twisters,6.5, (160K),2h 2m,action
16. Civil War,7.0, (232K),1h 49m,action
17. Old Guy,5.1, (1.7K),1h 34m,action
18. The Count of Monte-Cristo,7.6, (32K),2h 58m,action
19. The Beekeeper,6.3, (153K),1h 45m,action
20. Carry-On,6.5, (159K),1h 59m,action
21. Marco,6.9, (20K),2h 25m,action
22. The Fall Guy,6.8, (216K),2h 6m,action
23. Rebel Ridge,6.8, (85K),2h 11m,action
24. Homestead,5.4, (3.3K),1h 52m,action
25. The Crow,4.7, (32K),1h 51m,action
26. Thelma,7.0, (21K),1h 38m,action
27. Kingdom of the Planet of the Apes,6.9, (149K),2h 25m,action
28. Road House,6.2, (165K),2h 1m,action
29. Red One,6.3, (137K),2h 3m,action
30. Transformers One,7.6, (47K),1h 44m,action
31. Solo Leveling: ReAwakening,8.7, (6.7K),2h 1m,action
32. Bad Boys: Ride or Die,6.5, (98K),1h 55m,action
33. Love Lies Bleeding,6.6, (56K),1h 44m,action
34. Damsel,6.1, (108K),1h 50m,action
35. Land of Bad,6.6, (50K),1h 53m,action
36. The Killer's Game,5.7, (16K),1h 44m,action
37. Argylle,5.6, (91K),2h 19m,action
38. Madame Web,4.0, (99K),1h 56m,action
39. Godzilla x Kong: The New Empire,6.1, (119K),1h 55m,action
40. Dirty Angels,4.3, (3.1K),1h 44m,action
41. The Union,5.4, (52K),1h 47m,action
42. Monkey Man,6.8, (90K),2h 1m,action
43. Aftermath,5.1, (3.4K),1h 37m,action
44. Azrael,5.4, (10K),1h 26m,action
45. Freaky Tales,6.4, (362),1h 46m,action
46. Attack on Titan the Movie: The Last Attack,9.3, (14K),2h 25m,action
47. Drive-Away Dolls,5.4, (23K),1h 24m,action
48. Werewolves,4.4, (6K),1h 33m,action
49. Uglies,4.7, (32K),1h 40m,action
50. Kung Fu Panda 4,6.3, (67K),1h 34m,action
51. Absolution,5.2, (7.4K),1h 52m,action
52. Arcadian,5.5, (22K),1h 32m,action
53. Blitz,6.2, (16K),2h,action
54. The Instigators,6.2, (37K),1h 41m,action
55. Lift,5.5, (49K),1h 47m,action
56. Beverly Hills Cop: Axel F,6.4, (80K),1h 58m,action
57. The Killer,5.7, (12K),2h 6m,action
58. Hitpig,5.1, (827),1h 26m,action
59. Apocalypse Z: The Beginning of the End,6.1, (19K),1h 57m,action
60. The Silent Hour,6.1, (7K),1h 39m,action
61. Maharaja,8.4, (65K),2h 21m,action
62. Classified,3.6, (2.2K),1h 45m,action
63. Kalki 2898 AD,7.0, (66K),3h,action
64. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,action
65. Brothers,5.4, (13K),1h 29m,action
66. Atlas,5.6, (55K),1h 58m,action
67. Canary Black,5.4, (11K),1h 41m,action
68. Baby John,5.4, (17K),2h 39m,action
69. Survive,4.6, (2K),1h 30m,action
70. Long Gone Heroes,5.2, (966),1h 41m,action
71. Weekend in Taipei,5.7, (4.3K),1h 40m,action
72. Watchmen: Chapter I,7.0, (6.3K),1h 23m,action
73. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,action
74. Gunner,3.2, (2.3K),1h 46m,action
75. Hagen,6.1, (1K),2h 19m,action
76. Jackpot!,5.8, (30K),1h 46m,action
77. Cash Out,4.8, (2.8K),1h 32m,action
78. Under Paris,5.2, (36K),1h 44m,action
79. Levels,5.0, (1.4K),1h 33m,action
80. Dominique,5.3, (2.1K),1h 40m,action
81. The Shadow Strays,6.5, (8.9K),2h 24m,action
82. Armor,3.5, (3.6K),1h 29m,action
83. Trigger Warning,4.6, (19K),1h 46m,action
84. Agents,3.7, (887),1h 22m,action
85. Twilight of the Warriors: Walled In,7.0, (8.9K),2h 6m,action
86. Aavesham,7.8, (27K),2h 35m,action
87. Hounds of War,4.5, (1.7K),1h 35m,action
88. Boneyard,4.1, (4.8K),1h 36m,action
89. Jacob Tyler,4.8, (43),2h 13m,action
90. Chief of Station,4.7, (4.4K),1h 37m,action
91. Take Cover,5.1, (2.3K),1h 30m,action
92. No Way Up,4.6, (10K),1h 30m,action
93. Agent Recon,2.4, (657),1h 25m,action
94. Red Right Hand,5.5, (5.7K),1h 51m,action
95. 11 Rebels,6.2, (254),2h 35m,action
96. Watchmen: Chapter II,7.0, (2.7K),1h 30m,action
97. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,action
98. Sunray: Fallen Soldier,4.3, (580),1h 55m,action
99. Night Call,6.8, (1.7K),1h 37m,action
100. Singham Again,4.8, (75K),2h 24m,action
101. Damaged,4.7, (7.1K),1h 37m,action
102. Amaran,8.2, (18K),2h 47m,action
103. Role Play,5.5, (19K),1h 40m,action
104. Vanvaas,6.7, (1.1K),2h 40m,action
105. Trouble,6.2, (6.6K),1h 38m,action
106. Echo 8,4.0, (167),1h 36m,action
107. Rifle Club,7.0, (3.9K),1h 53m,action
108. Dark Match,5.5, (828),1h 34m,action
"109. I, the Executioner",6.3, (1.6K),1h 58m,action
110. Prey,3.7, (3.2K),1h 26m,action
111. Code 8: Part II,5.7, (16K),1h 40m,action
112. My Hero Academia: You're Next,7.0, (1.9K),1h 50m,action
113. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.3K),1h 33m,action
114. City Hunter,6.3, (5.5K),1h 42m,action
115. Uprising,6.6, (5.3K),2h 6m,action
116. River of Blood,5.4, (1.5K),1h 26m,action
117. My Spy: The Eternal City,5.7, (11K),1h 52m,action
118. Duchess,4.6, (1.2K),1h 54m,action
119. Harbin,6.5, (483),1h 48m,action
120. Max,7.1, (3.2K),2h 12m,action
121. Badland Hunters,5.9, (12K),1h 47m,action
